"Active (0/1)";"Name *";"Parent category";"Root category (0/1)";Description;"Meta title";"Meta description";"Meta keywords";"Friendly URL";"Image URL"
1;Trofeos;Home;0;"Trofeos en Relieve 3D para Eventos Deportivos Diseñamos y fabricamos trofeos deportivos personalizados con relieve topográfico 3D: una forma innovadora y emotiva de premiar logros en la montaña. Cada trofeo puede representar una cima, un perfil de etapa o una zona completa, con opciones de grabado de logotipos, fechas, categorías o nombres. Usamos materiales como yeso, resina o impresión 3D, montados sobre bases de madera. Perfectos para carreras de montaña, clubes deportivos, pruebas ciclistas o retos personales. Si quieres encargar trofeos pesonalizado para pruebas deportivas, o simplemente para tener un recuerdo, pregúntanos. CONTÁCTO";"Trofeos Personalizados en Relieve 3D – Para Carreras y Eventos Outdoor";"Trofeos únicos con relieve 3D para competiciones de montaña, clubes deportivos y eventos. Personalización total y fabricación artesanal.";;trofeos-relieve;
1;"Llaveros 3D";Home;0;"Llaveros de Montaña en Relieve 3D Los llaveros 3D de montaña son pequeños homenajes portátiles a tus cumbres favoritas. Fabricados en resina de alta calidad y pintados a mano, cada llavero reproduce con fidelidad el perfil de una montaña icónica. Su ligereza y resistencia los hace perfectos para llevar en el día a día, mientras su nivel de detalle los convierte en un regalo personal y con carácter. Algunos modelos pueden personalizarse con nombre, fecha o lugar, lo que los convierte en un excelente recuerdo de una aventura vivida.";"Llaveros 3D de Montaña – Relieves en Resina Pintados a Mano";"Llaveros en relieve 3D con formas de montañas y cumbres icónicas. Hechos en resina y pintados a mano. Un detalle original y funcional.";;llaveros-3d;
1;Ofertas;Home;0;;;;;ofertas;
1;"Dioramas en Relieve";Home;0;"Dioramas en Relieve Personalizados Los dioramas en relieve 3D son más que maquetas: son escenarios emocionales que capturan una experiencia vivida, una historia o un rincón especial con un enfoque artístico y detallado. Diseñamos cada diorama a medida, integrando relieve geográfico, elementos decorativos y narrativa visual. Desde un paso técnico en alta montaña hasta una escena simbólica de una travesía, cada pieza se convierte en un objeto de memoria, homenaje o regalo emocional. Si quieres conmemorar un evento, una cima conquistada o simplemente decorar con personalidad, esta es tu categoría.";"Dioramas en Relieve 3D – Escenarios para Recordar Momentos Únicos";"Crea un diorama en relieve que capture un lugar, una experiencia o un recuerdo. Totalmente personalizado y hecho a mano con máximo detalle.";;dioramas-en-relieve;
1;"Lámparas 3D";Home;0;"Lámparas 3D con Relieve de Montaña Las lámparas 3D con relieve de montaña son una fusión entre funcionalidad, arte y pasión por la naturaleza. Cada modelo representa una montaña o zona emblemática en resina semitranslúcida, que cobra vida al encenderse mediante iluminación LED. Con base de madera de 10x10 cm y conexión USB, estas lámparas aportan un ambiente cálido y evocador, ideal para espacios personales, oficinas o como regalo decorativo único.";"Lámparas 3D de Montaña – Iluminación Decorativa con Relieve";"Lámparas 3D con relieves de montaña en resina iluminada. Ideal para decorar espacios con luz suave y diseño inspirado en la naturaleza.";;lamparas-3d;
1;"Hitos Kilométricos Personalizados";Home;0;"Hitos Kilométricos en Miniatura para Ciclistas Celebra tus logros sobre ruedas con un hito kilométrico personalizado, al estilo de los grandes puertos de montaña. Fabricado en impresión 3D y pintado a mano, puedes incluir: Nombre del puerto Altitud, distancia, desnivel y pendiente Icono de ciclismo Colores personalizados según la dureza o tipo de evento Todo ello montado sobre una elegante peana de madera maciza, ideal para decorar tu rincón ciclista o regalar a un compañero de ruta.";"Hitos Kilométricos Personalizados – Recuerda tu Reto Ciclista";"Personaliza un hito kilométrico con los datos de tu reto en bicicleta. Altitud, desnivel y pendiente en una pieza decorativa con peana de madera.";;hitos-kilometricos;
1;"Maquetas 3D";Home;0;"Maquetas 3D en Relieve Bienvenido a nuestra colección de maquetas en relieve 3D. Aquí encontrarás todos nuestros formatos y estilos: desde mini maquetas hasta piezas de gran tamaño, siempre realizadas con un enfoque artesanal y geográfico. Cada maqueta está pensada para recrear la emoción de un paisaje o montaña concreta: cumbres emblemáticas, rutas de senderismo, volcanes, zonas costeras y mucho más. Descubre los diferentes formatos disponibles en nuestras subcategorías y encuentra la pieza perfecta para decorar, regalar o colecciona";"Maquetas 3D en Relieve Artesanales – Montañas y Paisajes";"Descubre nuestras maquetas 3D en relieve: piezas artesanales que recrean montañas, rutas y paisajes naturales con detalle, volumen y carácter.";;maquetas-3d;
1;"Mapas y Láminas";Home;0;"Mapas en Relieve y Láminas de Montaña En esta sección encontrarás dos formas de ver la montaña desde otra perspectiva: Mapas en relieve 3D, con volumen, texturas y escala precisa. Láminas gráficas, minimalistas y artísticas, basadas en curvas de nivel reales. Pensados para decorar, regalar o recordar lugares únicos, nuestros mapas y láminas son una forma elegante y emocional de llevar la naturaleza a casa. Fabricados artesanalmente o impresos con máxima calidad.";"Mapas y Láminas de Montaña – Relieve y Arte Topográfico";"Explora nuestros mapas en relieve 3D y láminas artísticas de curvas de nivel. Diseños únicos para decorar y recordar tus montañas favoritas.";;mapas-y-laminas;
1;Personalizados;Home;0;"Mapas y Maquetas Personalizadas en Relieve Si hay un lugar que te marcó, una cima que conquistaste o una ruta que quieres inmortalizar, aquí puedes encargar tu maqueta o mapa en relieve personalizado. Elige una zona geográfica concreta (pico, macizo, sendero, región…) y nosotros la convertimos en una pieza única, adaptada a tus preferencias de tamaño, estilo y presentación. Ideal como regalo personalizado, recuerdo de una experiencia o elemento decorativo lleno de significado.";"Mapas y Maquetas Personalizados en Relieve 3D – Elige tu Zona";"Encarga una maqueta o mapa en relieve 3D personalizada: elige la montaña, ruta o región que desees y nosotros la creamos para ti.";;personalizados;
1;"Maquetas PRO y TOP";"Maquetas 3D";0;"Maquetas 3D en Relieve PRO y TOP Nuestra colección de maquetas PRO y TOP ofrece un equilibrio perfecto entre detalle, presentación y artesanía. Cada pieza está realizada en yeso de alta resistencia, pintada a mano con precisión y montada sobre una peana de madera tratada. Disponibles en varios formatos (13x17, 15x15, 20x20 cm, ...), estas maquetas representan montañas, picos y parajes icónicos con un nivel de realismo impresionante. La versión TOP incluye una ficha informativa impresa en PVC colocada en la parte posterior.La versión PRO se presenta con una elegante grabación directa sobre la peana. Ya sea como objeto decorativo, pieza de coleccionismo o regalo para montañeros, estas maquetas son una forma única de rendir homenaje a tus paisajes favoritos.";"Maquetas 3D en Relieve – Formatos PRO y TOP en varios tamaños";"Maquetas de montaña pintadas a mano sobre peana de madera. Versiones PRO y TOP disponibles en varios tamaños.";;maquetas-pro-y-top;
